Frage,Antwort1,Antwort2,Antwort3,Antwort4,KorrekteAntwort
Was ist die Hauptstadt von Deutschland?,Berlin,Madrid,Paris,M¸nchen,Berlin
Welcher Planet ist der dritte in unserem Sonnensystem?,Mars,Erde,Venus,Saturn,Erde
"Wer schrieb ""Romeo und Julia""?,Charles Dickens,William Shakespeare,Jane Austen,Alan Walker,William Shakespeare"
Wie viele Kontinente gibt es auf der Welt?,4,6,7,8,7
Was ist die Hauptzutat in Guacamole?,Tomaten,Avocado,Zwiebeln,Avocado
Welcher Fluss flie√üt durch √Ñgypten?,Nil,Donaue,Schelde,Amazon,Nil
Wie viele Beine hat ein Spinnenb√§r?,4,6,8,3,8
In welchem Jahr wurde die Unabh√§ngigkeit der USA erkl√§rt?,1776,1789,1801,1992,1776
Welcher Berg ist der h√∂chste der Welt?,Mount Kilimanjaro,Mount Everest,Matterhorn,Migo,Mount Everest
Was ist die Hauptstadt von Australien?,Sydney,Melbourne,Canberra,Moskow,Canberra
Welches Element hat das chemische Symbol 'O'?,Sauerstoff,Gold,Eisen,Silber,Sauerstoff
Wie nennt man eine Gruppe von W√∂lfen?,Herde,Trupp,Rudel,Schwam,Rudel
In welchem Jahr wurde die Berliner Mauer errichtet?,1945,1950,1961,1994,1961
Welches Tier ist der K√∂nig des Dschungels?,Elefant,L√∂we,Leopard,Affe,L√∂we
Was ist die Hauptzutat in Sushi?,Reis,Nudeln,Kartoffeln,Fisch,Reis
Wer malte die Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Alan Walker,Leonardo da Vinci
Wie nennt man die Studie von V√∂geln?,Ornithologie,Zoologie,Entomologie,Astreno,Ornithologie
Was ist der Durchmesser der Erde in Kilometern?,10.000 km,20.000 km,12.742 km,14.827 km,12.742 km
"Welcher Planet wird als der ""Rote Planet"" bezeichnet?,Venus,Jupiter,Mars,Erde,Mars"
"Wer schrieb ""Der Herr der Ringe""?,George R.R. Martin,J.K. Rowling,J.R.R. Tolkien,Achmad Junior,J.R.R. Tolkien"
Was ist die Hauptzutat in Hummus?,Kichererbsen,Linsen,Bohnen,Gurke,Kichererbsen
Welches Element hat das chemische Symbol 'H'?,Wasserstoff,Helium,Kohlenstoff,Silber,Wasserstoff
Wie nennt man eine Gruppe von Fischen?,Herde,Schwarm,Gruppe,Rudel,Schwarm
In welchem Jahr wurde die Magna Carta unterzeichnet?,1215,1300,1401,1822,1215
Welches Tier ist der gr√∂√üte auf dem Land lebende Fleischfresser?,L√∂we,Tiger,Braunb√§r,Hund,Tiger
Was ist die Hauptzutat in Pesto?,Tomaten,Spinat,Basilikum,Gurke,Basilikum
Wer entdeckte die Schwerkraft mit einem Apfel?,Isaac Newton,Galileo Galilei,Albert Einstein,Alan Walker,Isaac Newton
Welches Land hat die meisten Einwohner?,Indien,China,USA,Russland,China
Was ist die Hauptstadt von Japan?,Seoul,Beijing,Tokio,Afrika,Tokio
Welcher Ozean liegt √∂stlich von Australien?,Atlantik,Pazifik,Indischer Ozean,Amazon,Pazifik
